discountoffer,total_products,avg_rating,total_reviews
"Rs. 1801 OFF",9,2.26,157
"Rs. 1541 OFF",9,3.38,73
"Rs. 570 OFF",9,0.94,45
"Rs. 319 OFF",9,1.31,55
"Rs. 1175 OFF",9,1.28,25
"Rs. 241 OFF",9,0.46,15
"Rs. 865 OFF",9,2.41,44
"Rs. 746 OFF",9,1.41,36
"Rs. 945 OFF",9,0.51,13
"Rs. 1049 OFF",9,0.84,20
"Rs. 540 OFF",9,1.3,20
"Rs. 2739 OFF",9,0.91,9
"Rs. 1010 OFF",9,0.42,5
"Rs. 131 OFF",9,0.56,3
"Rs. 1154 OFF",9,0.44,2
"Rs. 1290 OFF",9,0,0
"Rs. 1575 OFF",9,0,0
"Rs. 571 OFF",9,0,0
"Rs. 498 OFF",9,0,0
"Rs. 1341 OFF",9,0,0
"Rs. 2141 OFF",9,0,0
"Rs. 2325 OFF",9,0,0
"Rs. 3100 OFF",9,0,0
"Rs. 3202 OFF",9,0,0
"Rs. 725 OFF",9,0,0
"Rs. 1401 OFF",8,2.38,795
"Rs. 138 OFF",8,1.71,410
"Rs. 246 OFF",8,3.15,375
"Rs. 1143 OFF",8,2.01,267
"Rs. 1324 OFF",8,2.5,312
"Rs. 770 OFF",8,3.05,154
"Rs. 803 OFF",8,4.05,192
"Rs. 54 OFF",8,3.09,79
"Rs. 553 OFF",8,2.72,91
"Rs. 240 OFF",8,3.41,96
"Rs. 551 OFF",8,1.72,52
"Rs. 846 OFF",8,1.06,36
"Rs. 296 OFF",8,1.56,41
"Rs. 118 OFF",8,3.16,81
"Rs. 1110 OFF",8,0.57,13
"Rs. 835 OFF",8,1.1,14
"Rs. 369 OFF",8,1.39,26
"Rs. 651 OFF",8,0.91,16
"Rs. 329 OFF",8,1.1,11
"Rs. 396 OFF",8,0.62,9
"Rs. 3800 OFF",8,0.56,8
"Rs. 14447 OFF",8,0.5,6
"Rs. 1710 OFF",8,0,0
"Rs. 324 OFF",8,0,0
"Rs. 1199 OFF",8,0,0
"Rs. 281 OFF",8,0,0
"Rs. 447 OFF",8,0,0
"Rs. 81 OFF",7,2.49,1000
"67% OFF, Hurry*",7,3.99,535
"Rs. 75 OFF",7,0.61,293
"Rs. 1078 OFF",7,4.14,717
"Rs. 1225 OFF",7,3.34,218
"Rs. 244 OFF",7,2.84,102
"Rs. 1205 OFF",7,2.2,131
"Rs. 749 OFF",7,1.14,49
"Rs. 10296 OFF",7,1.19,57
"Rs. 393 OFF",7,4.34,165
"Rs. 796 OFF",7,2.73,67
"Rs. 325 OFF",7,4.16,77
"Rs. 765 OFF",7,2.94,55
"Rs. 531 OFF",7,0.7,7
"Rs. 1273 OFF",7,1.16,11
"Rs. 151 OFF",7,1.14,12
"Rs. 1387 OFF",7,0.54,6
"Rs. 9100 OFF",7,1.21,8
"Rs. 6200 OFF",7,0.6,6
"Rs. 1171 OFF",7,0.6,5
"Rs. 1816 OFF",7,0.6,5
"Rs. 1320 OFF",7,0.63,5
"Rs. 266 OFF",7,0.69,5
"Rs. 1111 OFF",7,0.47,3
"Rs. 896 OFF",7,0.36,2
"Rs. 2410 OFF",7,0.64,2
"Rs. 980 OFF",7,0,0
"Rs. 1358 OFF",7,0,0
"Rs. 18000 OFF",7,0,0
"Rs. 92 OFF",7,0,0
"Rs. 1960 OFF",7,0,0
"Rs. 2140 OFF",7,0,0
"Rs. 1699 OFF",7,0,0
"Rs. 2270 OFF",7,0,0
"Rs. 41 OFF",7,0,0
"Rs. 429 OFF",7,0,0
"Rs. 975 OFF",6,4.12,831
"Rs. 1305 OFF",6,3.57,1934
"Rs. 1605 OFF",6,1.87,479
"Rs. 1158 OFF",6,4.27,393
"Rs. 836 OFF",6,2.2,549
"Rs. 25 OFF",6,4.23,388
"Rs. 15196 OFF",6,1.53,123
"Rs. 5298 OFF",6,2.77,188
"Rs. 1196 OFF",6,2.5,138
"Rs. 176 OFF",6,2.5,151
"Rs. 341 OFF",6,3.62,212
"Rs. 1515 OFF",6,1.4,63
"Rs. 3799 OFF",6,4.08,149
"Rs. 951 OFF",6,2.22,79
"Rs. 31 OFF",6,3.55,130
"Rs. 475 OFF",6,1.3,52
"Rs. 4001 OFF",6,3.43,80
"Rs. 1004 OFF",6,3.37,85
"Rs. 343 OFF",6,1.03,35
"Rs. 410 OFF",6,0.7,22
"Rs. 811 OFF",6,1.18,25
"Rs. 1740 OFF",6,4.13,64
"Rs. 780 OFF",6,0.72,17
"Rs. 615 OFF",6,1.97,37
"Rs. 2801 OFF",6,0.52,15
"Rs. 14 OFF",6,1.87,35
"Rs. 380 OFF",6,2.03,13
"Rs. 119 OFF",6,1.6,16
"Rs. 996 OFF",6,0.63,10
"Rs. 288 OFF",6,3.37,36
"Rs. 1914 OFF",6,3.3,32
"Rs. 1291 OFF",6,2.03,13
"Rs. 3020 OFF",6,0.78,6
"Rs. 923 OFF",6,0.62,6
"Rs. 354 OFF",6,0.55,6
"Rs. 114 OFF",6,1.3,8
"Rs. 1499 OFF",6,0.83,2
"Rs. 1436 OFF",6,0.17,1
"Rs. 1654 OFF",6,0,0
"Rs. 1466 OFF",6,0,0
"Rs. 2550 OFF",6,0,0
"Rs. 997 OFF",6,0,0
"Rs. 9400 OFF",6,0,0
"Rs. 1680 OFF",6,0,0
"Rs. 16001 OFF",6,0,0
"Rs. 14501 OFF",6,0,0
"Rs. 1791 OFF",6,0,0
"Rs. 1920 OFF",6,0,0
"Rs. 2501 OFF",6,0,0
"Rs. 2349 OFF",6,0,0
"Rs. 416 OFF",6,0,0
"Rs. 962 OFF",6,0,0
"Rs. 3730 OFF",6,0,0
"Rs. 82 OFF",5,3.98,1705
"Rs. 9 OFF",5,4.28,1474
"Rs. 424 OFF",5,2.58,414
